Player1_Heuristic,Player2_Heuristic,Result,Player1_Mancala,Player2_Mancala
1,1,Player1 wins!,31,17
1,2,Player1 wins!,33,15
1,3,Player1 wins!,34,14
1,4,Player1 wins!,32,16
2,1,Player1 wins!,34,14
2,2,Player1 wins!,37,11
2,3,Player1 wins!,32,16
2,4,Player1 wins!,32,16
3,1,Player1 wins!,26,22
3,2,Player1 wins!,26,22
3,3,Player1 wins!,27,21
3,4,Player1 wins!,31,17
4,1,Player2 wins!,22,26
4,2,Player2 wins!,22,26
4,3,Player1 wins!,28,20
4,4,Player1 wins!,32,16
