Player1_Heuristic,Player2_Heuristic,Result,Player1_Mancala,Player2_Mancala
1,1,Player1 wins!,30,18
1,2,Player1 wins!,26,22
1,3,Player1 wins!,33,15
1,4,Player1 wins!,25,23
2,1,Player1 wins!,29,19
2,2,Player1 wins!,31,17
2,3,Draw,24,24
2,4,Player1 wins!,31,17
3,1,Player1 wins!,29,19
3,2,Player1 wins!,30,18
3,3,Player1 wins!,29,19
3,4,Player1 wins!,35,13
4,1,Player2 wins!,21,27
4,2,Player1 wins!,37,11
4,3,Player1 wins!,30,18
4,4,Player1 wins!,31,17
